id,Country,Nationality
157,Afghanistan,Afghan
49,Albania,Albanian
26,Algeria,Algerian
159,Andorra,Andorran
71,Angola,Angolan
130,Antigua & Barbuda,Antarctic
1,Argentina,Argentine
35,Armenia,Armenian
66,Australia,Australian
27,Austria,Austrian
140,Azerbaijan,"Azerbaijani, Azeri"
145,Barbados,Barbadian
90,Belarus,Belarusian
5,Belgium,Belgian
161,Belize,Belizean
92,Benin,"Beninese, Beninois"
128,Bermuda,"Bermudian, Bermudan"
102,Bolivia,Bhutanese
23,Bosnia Herzegovina,Bosnian or Herzegovinian
164,Botswana,"Motswana, Botswanan"
3,Brazil,Brazilian
82,Bulgaria,Bulgarian
72,Burkina Faso,BurkinabÃ©
116,Burundi,Burundian
57,Cameroon,Cameroonian
96,Canada,Canadian
65,Cape Verde,Cape Verdian
41,Central African Rep.,Central African
106,Chad,Chadian
29,Chile,Chilean
80,China PR,Chinese
15,Colombia,Colombian
109,Comoros,"Comoran, Comorian"
93,Congo,Congolese
20,Costa Rica,Costa Rican
6,Croatia,Croatian
89,Cuba,Cuban
100,Curacao,CuraÃ§aoan
98,Cyprus,Cypriot
38,Czech Republic,Czech
16,Denmark,Danish
58,Dominican Republic,Dominican
42,DR Congo,Dominican
53,Ecuador,Ecuadorian
14,Egypt,Egyptian
127,El Salvador,Salvadoran
12,England,English
76,Equatorial Guinea,"Equatorial Guinean, Equatoguinean"
113,Eritrea,Eritrean
74,Estonia,Estonian
151,Ethiopia,Ethiopian
142,Faroe Islands,Faroese
117,Fiji,Fijian
32,Finland,Finnish
11,France,French
78,FYR Macedonia,French Southern Territories
17,Gabon,Gabonese
88,Gambia,Gambian
86,Georgia,Georgian
10,Germany,German
40,Ghana,Ghanaian
28,Greece,"Greek, Hellenic"
153,Grenada,Grenadian
141,Guam,"Guamanian, Guambat"
133,Guatemala,Guatemalan
33,Guinea,Guinean
81,Guinea Bissau,Guinean
148,Guyana,Guyanese
108,Haiti,Haitian
95,Honduras,Honduran
158,Hong Kong,"Hong Kong, Hong Kongese"
61,Hungary,"Hungarian, Magyar"
46,Iceland,Icelandic
143,India,Indian
163,Indonesia,Indonesian
73,Iran,"Iranian, Persian"
115,Iraq,Iraqi
59,Israel,Israeli
13,Italy,Italian
43,Ivory Coast,Italian
48,Jamaica,Jamaican
51,Japan,Japanese
154,Jordan,Jordanian
135,Kazakhstan,"Kazakhstani, Kazakh"
60,Kenya,Kenyan
121,Korea DPR,South Korean
31,Korea Republic,South Korean
83,Kosovo,South Korean
129,Kuwait,Kuwaiti
124,Latvia,Latvian
146,Lebanon,Lebanese
134,Liberia,Liberian
110,Libya,Libyan
122,Liechtenstein,Liechtenstein
119,Lithuania,Lithuanian
120,Luxembourg,Luxembourgish
85,Madagascar,Malagasy
55,Mali,"Malian, Malinese"
160,Malta,Maltese
137,Mauritania,Mauritanian
132,Mauritius,Mauritian
47,Mexico,Mexican
101,Moldova,Micronesian
34,Montenegro,Montenegrin
138,Montserrat,Montserratian
24,Morocco,Moroccan
94,Mozambique,Mozambican
139,Namibia,Namibian
22,Netherlands,Dutch
118,New Caledonia,New Caledonian
77,New Zealand,New Zealand
144,Nicaragua,Nicaraguan
136,Niger,Nigerien
56,Nigeria,Nigerian
97,Northern Ireland,Norfolk Island
37,Norway,Norwegian
114,Oman,Omani
147,Palestine,Palauan
111,Panama,Panamanian
54,Paraguay,Paraguayan
67,Peru,Peruvian
107,Philippines,Filipino
9,Poland,Polish
2,Portugal,Portuguese
152,Puerto Rico,Puerto Rican
156,Qatar,Qatari
62,Republic of Ireland,"RÃ©unionese, RÃ©unionnais"
63,Romania,Romanian
44,Russia,Romanian
155,Rwanda,Rwandan
112,São Tomé & Príncipe,Sammarinese
99,Saudi Arabia,Saudi
39,Scotland,Scottish
19,Senegal,Senegalese
25,Serbia,Serbian
104,Sierra Leone,Sierra Leonean
21,Slovakia,Slovak
8,Slovenia,"Slovenian, Slovene"
84,South Africa,South African
162,South Sudan,South Sudanese
4,Spain,Spanish
123,St Kitts Nevis,Sri Lankan
150,St Lucia,Sri Lankan
149,Sudan,Sudanese
125,Suriname,Surinamese
30,Sweden,Swedish
36,Switzerland,Swiss
69,Syria,Swiss
87,Tanzania,Tajikistani
131,Thailand,Thai
68,Togo,Togolese
103,Trinidad & Tobago,Tongan
75,Tunisia,Tunisian
52,Turkey,Turkish
126,Uganda,Ugandan
45,Ukraine,Ukrainian
79,United Arab Emirates,Emirati
64,United States,American
7,Uruguay,Uruguayan
91,Uzbekistan,Uzbekistani
50,Venezuela,Venezuelan
18,Wales,Welsh
105,Zambia,Zambian
70,Zimbabwe,Zimbabwean
0,International,International
